Day,S,I,R,V,D
1,394,6,0,0,0
2,393,7,0,0,0
3,392,8,0,0,0
4,391,9,0,0,0
5,390,10,0,0,0
6,387,13,0,0,0
7,381,19,0,0,0
8,378,16,6,0,0
9,377,16,7,0,0
10,374,18,8,0,0
11,370,21,9,0,0
12,364,26,10,0,0
13,359,28,13,0,0
14,353,28,19,0,0
15,344,34,22,0,0
16,335,42,23,0,0
17,325,49,26,0,0
18,311,59,29,0,1
19,296,68,34,0,2
20,279,80,39,0,2
21,268,85,45,0,2
22,253,91,52,0,4
23,236,99,60,0,5
24,226,99,69,0,6
25,209,102,79,0,10
26,198,98,94,0,10
27,186,93,111,0,10
28,170,98,122,0,10
29,160,93,136,0,11
30,143,93,152,0,12
31,131,95,160,0,14
32,121,88,175,0,16
33,111,87,185,0,17
34,106,80,196,0,18
35,102,68,210,0,20
36,98,62,220,0,20
37,95,48,236,0,21
38,90,41,248,0,21
39,88,33,258,0,21
40,85,26,268,0,21
41,83,23,273,0,21
42,83,19,277,0,21
43,81,17,281,0,21
44,79,16,284,0,21
45,76,14,289,0,21
46,76,12,291,0,21
47,75,10,294,0,21
48,75,8,296,0,21
49,75,8,296,0,21
50,75,6,298,0,21
